,date,location,latitude,longitude,depth_km,earthquake_magnitude,tsunami_event_id,runup_count,max_water_height_m,min_source_dist_km,max_source_dist_km,unique_countries_count,countries
0,1985-03-03 22:47:09.500,"CHILE:  CENTRAL COAST, SAN ANTONIO, VALPARAISO",-33.132,-71.708,40.0,8.0,2158,61,3.5,6.872274618083443,18671.336543806945,7,"USA, ECUADOR, JAPAN, CHINA, FRENCH POLYNESIA, CHILE, RUSSIA"
1,1985-03-16 14:54:00.700,GUADELOUPE,17.013,-62.448,13.0,6.4,2159,1,0.12,136.59189109091457,136.59189109091457,1,GUADELOUPE (FRENCH TERRITORY)
2,1985-07-03 04:36:51.700,PAPUA NEW GUINEA:  NEW BRITAIN:  RABAUL,-4.439,152.828,46.0,7.2,2161,2,1.3,75.89775287435056,77.30616621861927,1,PAPUA NEW GUINEA
3,1985-09-19 13:17:47.300,MEXICO:  MICHOACAN:  MEXICO CITY,18.19,-102.533,28.0,8.1,2162,19,3.0,30.25703097351384,8381.201315808958,8,"USA TERRITORY, ECUADOR, EL SALVADOR, USA, MEXICO, SAMOA, FRENCH POLYNESIA, COSTA RICA"
4,1985-09-21 01:37:13.400,MEXICO:  SW COAST:  MEXICO CITY,17.802,-101.647,31.0,7.6,2163,3,1.2,14.950854331367754,2103.8805335348525,2,"MEXICO, COSTA RICA"
5,1986-05-07 22:47:10.800,ALASKA:  ALEUTIAN ISLANDS:  ADAK,51.52,-174.776,19.0,8.0,2164,65,0.88,133.89011872366882,13669.517436490114,13,"USA, CHILE, ECUADOR, USA TERRITORY, JAPAN, NEW ZEALAND, SAMOA, COOK ISLANDS, MICRONESIA, FED. STATES OF, PERU, CANADA, RUSSIA, FRENCH POLYNESIA"
6,1986-10-20 06:46:09.900,KERMADEC ISLANDS:  RAOUL,-28.117,-176.367,29.0,8.1,2166,8,0.11,1641.1973041655472,5829.768425713834,3,"USA TERRITORY, USA, FRENCH POLYNESIA"
7,1987-02-06 13:16:17.800,JAPAN:  EAST COAST HONSHU,36.988,141.689,48.0,6.3,2167,3,0.06,70.53091699299367,225.2757046686401,1,JAPAN
8,1987-02-08 18:33:58.300,"PAPUA NEW GUINEA:  HUON PENINSULA, UMBOI ISLAND",-6.088,147.689,55.0,7.6,2168,1,1.5,64.01978806048643,64.01978806048643,1,PAPUA NEW GUINEA
9,1987-03-05 09:17:05.200,"CHILE:  ANTOFAGASTA, ARICA",-24.388,-70.161,62.0,7.3,2169,6,0.11,304.352284321468,10408.486970069223,3,"CHILE, USA, MEXICO"
10,1987-03-18 03:36:30.300,"JAPAN:  KYUSHU:  MIYAZAKI, NAZE",32.034,131.837,54.0,6.7,2170,1,0.04,132.89222486415602,132.89222486415602,1,JAPAN
11,1987-03-24 12:49:47.000,JAPAN:  HONSHU ISLAND,37.447,137.865,23.0,5.1,2171,3,0.16,326.4944360832667,826.2972498119527,1,JAPAN
12,1987-10-06 04:19:06.000,TONGA ISLANDS,-17.94,-172.225,16.0,7.3,2174,2,0.12,437.4140807612042,457.85776129986175,2,"USA TERRITORY, SAMOA"
13,1987-10-12 13:57:04.700,PAPUA NEW GUINEA:  SOLOMON SEA,-7.288,154.371,25.0,6.8,2175,1,0.04,417.1187635313568,417.1187635313568,1,PAPUA NEW GUINEA
14,1987-10-16 20:48:01.600,"PAPUA NEW GUINEA:  NEW BRITAIN:  KANDRIAN, KIMBTE",-6.266,149.06,48.0,7.7,2176,1,0.07,413.2869713014,413.2869713014,1,PAPUA NEW GUINEA
15,1987-11-17 08:46:53.300,ALASKA:  GULF OF ALASKA,58.586,-143.27,10.0,7.2,2177,1,0.06,229.51483257438153,229.51483257438153,1,USA
16,1987-11-30 19:23:19.500,ALASKA:  YAKUTAT,58.679,-142.786,10.0,7.9,2179,10,0.43,199.97392782052455,4437.149511490863,1,USA
17,1988-02-05 14:01:02.700,CHILE:  TALTAL,-24.753,-70.433,37.0,6.7,2180,1,0.06,259.061712694688,259.061712694688,1,CHILE
18,1988-03-06 22:35:36.900,ALASKA:  GULF OF ALASKA:  ANCHORAGE,57.262,-142.747,15.0,7.8,2181,7,0.19,309.76379322139405,1529.6588056213086,1,USA
19,1988-06-24 02:06:26.300,PHILIPPINES:  LUZON:  LAOAG,18.606,121.013,53.0,5.4,2182,2,1.03,817.6044996369936,827.1117392012362,1,CHINA
20,1988-08-10 04:38:29.200,"SOLOMON ISLANDS:  SAN CRISTOBAL, GUADALCANAL",-10.258,160.896,36.0,7.6,2184,1,0.09,138.06407429144087,138.06407429144087,1,SOLOMON ISLANDS
21,1989-05-23 10:54:46.300,MACQUARIE ISLAND:  MACQUARIE STATION; NEW ZEALAND,-52.341,160.568,10.0,8.2,2185,1,0.1,2186.0191542766884,2186.0191542766884,1,AUSTRALIA
22,1989-06-26 03:27:03.900,HAWAIIAN ISLANDS:  PUNA DISTRICT,19.362,-155.083,9.0,6.1,2186,3,0.29,31.54771997011978,58.00190102503864,1,USA
23,1989-09-04 13:14:58.200,ALASKA,55.543,-156.835,11.0,6.9,2187,1,0.1,233.19424862746104,233.19424862746104,1,USA
24,1989-10-18 00:04:15.200,CALIFORNIA:  LOMA PRIETA,37.036,-121.883,19.0,6.9,2188,2,1.0,27.75195613096572,47.83199615386544,1,USA
25,1989-10-29 05:25:38.200,JAPAN:  N. HONSHU ISLAND,39.571,143.333,10.0,6.6,2189,4,0.11,116.26423945911772,212.5179329716696,1,JAPAN
26,1990-02-20 06:53:39.800,JAPAN:  NEAR S. COAST OF HONSHU,34.706,139.252,14.0,6.4,2191,1,0.16,14.726374089640332,14.726374089640332,1,JAPAN
27,1990-03-25 13:22:57.200,"COSTA RICA:  PUNTARENAS, SAN JOSE",9.907,-84.753,20.0,7.3,2192,2,1.0,11.000224794190094,83.21878397281442,1,COSTA RICA
28,1990-04-05 21:12:35.500,NORTHERN MARIANA ISLANDS:  SAIPAN; GUAM,15.125,147.596,11.0,7.5,2194,33,1.8,363.9480114279597,5990.2040932134305,4,"USA, USA TERRITORY, JAPAN, MICRONESIA, FED. STATES OF"
29,1990-09-23 21:13:07.400,"JAPAN:  W. OF BONIN ISLANDS, IZU IS.",33.267,138.643,10.0,6.5,2196,3,0.15,106.44659961663837,181.5152951448559,1,JAPAN
30,1990-12-13 19:50:17.800,TAIWAN:  HUA-LIEN,23.722,121.627,10.0,6.3,2198,2,0.04,267.10415794720825,389.9604078814743,1,JAPAN
31,1991-02-09 16:18:58.300,SOLOMON ISLANDS,-9.929,159.139,10.0,6.9,2199,1,0.02,105.2517425673426,105.2517425673426,1,SOLOMON ISLANDS
32,1991-02-16 01:23:40.400,RUSSIA:  KURIL ISLANDS,48.268,154.328,39.0,5.7,2200,1,0.1,758.9755778953106,758.9755778953106,1,RUSSIA
33,1991-02-21 02:35:34.000,BERING SEA,58.427,-175.45,20.0,6.7,2201,2,0.15,734.5882874917479,749.2517198089174,1,USA
34,1991-04-22 21:56:51.800,"COSTA RICA:  LIMON, PANDORA;  PANAMA",9.685,-83.073,10.0,7.6,2202,22,3.0,26.11838872497948,2168.840667918328,3,"PANAMA, USA TERRITORY, COSTA RICA"
35,1991-10-14 15:58:12.700,SOLOMON ISLANDS,-9.094,158.442,23.0,7.2,2205,2,0.15,170.32379825862645,877.3076083129708,2,"SOLOMON ISLANDS, PAPUA NEW GUINEA"
36,1992-04-25 18:06:04.200,"CALIFORNIA: HUMBOLDT COUNTY: FERNDALE, PETROLIA",40.368,-124.316,15.0,7.1,2208,13,0.9,45.09334421923938,3729.8149089818903,1,USA
37,1992-05-17 10:15:31.300,"PHILIPPINES:  MINDANAO, TANDAG, BISLIG",7.191,126.762,33.0,7.5,2209,3,6.0,22.00712565579765,26.53919103494618,1,PHILIPPINES
38,1992-07-18 08:36:58.700,JAPAN:  HONSHU ISLAND,39.419,143.33,29.0,7.0,2211,4,0.22,118.60751461010982,201.63870305169732,1,JAPAN
39,1992-09-02 00:16:03.300,NICARAGUA:  MASACHAPA; COSTA RICA,11.5,-87.609,30.0,7.6,2213,77,9.9,115.06529829210348,12460.630537004508,9,"ECUADOR, MEXICO, CHILE, USA, NICARAGUA, COSTA RICA, COOK ISLANDS, FRENCH POLYNESIA, JAPAN"
40,1992-12-12 05:29:26.300,"INDONESIA:  FLORES REGION, MAUMERE, BABI",-8.48,121.896,28.0,7.8,2214,89,26.2,12.962608874145545,875.2643245953591,1,INDONESIA
41,1993-02-07 13:27:42.000,"JAPAN:  HONSHU:  ISHIKAWA, TOYAMA, NIIGATA",37.634,137.245,11.0,6.3,2215,1,0.5,40.059104849859295,40.059104849859295,1,JAPAN
42,1993-06-08 13:03:36.400,RUSSIA:  KAMCHATKA,51.218,157.829,71.0,7.5,2218,6,0.1,207.88442938839356,5379.898814092757,3,"USA, USA TERRITORY, RUSSIA"
43,1993-07-12 13:17:11.900,JAPAN:  HOKKAIDO; RUSSIA:  SOUTHEAST; SOUTH KOREA,42.851,139.197,17.0,7.7,2219,181,32.0,59.323538737687635,1308.554883157491,4,"JAPAN, SOUTH KOREA, NORTH KOREA, RUSSIA"
44,1993-08-07 19:42:41.900,JAPAN,41.985,139.839,13.0,6.3,2220,1,0.16,27.685218026843614,27.685218026843614,1,JAPAN
45,1993-08-08 08:34:24.900,"GUAM:  TUMAN BAY, APRA HARBOR",12.982,144.801,59.0,7.8,2221,49,2.4,38.64629392454368,6464.742250272056,5,"USA, USA TERRITORY, MARSHALL ISLANDS, REP. OF, JAPAN, TAIWAN"
46,1993-11-13 01:18:04.100,RUSSIA:  KAMCHATKA,51.934,158.647,34.0,7.0,2222,1,0.05,120.47574688452322,120.47574688452322,1,RUSSIA
47,1994-01-21 02:24:29.900,INDONESIA:  KAU,1.015,127.733,20.0,7.0,2224,3,2.0,20.149269172135767,84.96927556541688,1,INDONESIA
48,1994-04-08 01:10:40.800,JAPAN:  OFF EAST COAST OF HONSHU ISLAND,40.608,143.683,13.0,6.4,2226,3,0.08,182.2456064478054,317.7226940336771,1,JAPAN
49,1994-06-02 18:17:34.000,INDONESIA:  JAVA,-10.477,112.835,18.0,7.8,2227,73,13.9,226.59470274619403,1598.6851572269688,2,"INDONESIA, AUSTRALIA"
50,1994-09-01 15:15:53.000,CALIFORNIA:  NORTH:  HONEYDEW,40.402,-125.68,10.0,7.0,2228,1,0.07,195.1127893431937,195.1127893431937,1,USA
51,1994-10-04 13:22:55.800,RUSSIA:  KURIL ISLANDS; JAPAN:  HOKKAIDO,43.773,147.321,14.0,8.3,2230,117,10.4,34.46600077991576,16528.954789454336,8,"RUSSIA, USA, USA TERRITORY, FRENCH POLYNESIA, CHILE, JAPAN, CANADA, VANUATU"
52,1994-10-08 21:44:07.200,INDONESIA:  HALMAHERA,-1.258,127.98,17.0,6.8,2231,1,3.0,38.9898512752654,38.9898512752654,1,INDONESIA
53,1994-10-09 07:55:39.500,RUSSIA:  KURIL ISLANDS,43.905,147.916,33.0,7.3,2232,2,0.12,202.00526943470555,304.93900718225547,1,JAPAN
54,1994-11-14 19:15:30.600,PHILIPPINES:  MINDORO,13.525,121.067,32.0,7.1,2234,54,7.29,4.066242391108014,131.84593960723498,1,PHILIPPINES
55,1994-12-28 12:19:23.000,JAPAN:  HONSHU,40.525,143.419,27.0,7.8,2235,13,0.5,156.32286209526333,698.0913698140148,1,JAPAN
56,1995-01-16 20:46:53.600,"JAPAN:  SW HONSHU:  KOBE, AWAJI-SHIMA, NISHINOMIYA",34.59,135.069,17.0,6.9,2236,2,0.34,14.686579563729763,25.605234339402113,1,JAPAN
57,1995-04-07 22:06:56.800,SAMOA:  APIA; AMERICAN SAMOA:  PAGO PAGO; NIUE,-15.199,-173.529,21.0,7.4,2240,3,0.09,322.3876681825142,12327.77498761074,3,"USA TERRITORY, NIUE, VANUATU"
58,1995-04-21 00:34:46.000,PHILIPPINES:  SAMAR,12.059,125.58,21.0,7.2,2241,1,0.05,232.5975921551082,232.5975921551082,1,PHILIPPINES
59,1995-05-14 11:33:21.100,"INDONESIA:  TIMOR, DILI, MALIANA, MAUBARA",-8.452,125.049,13.0,6.9,2245,2,4.0,53.84781011255588,58.379407142697275,1,EAST TIMOR
60,1995-05-16 20:12:44.200,NEW CALEDONIA:  NOUMEA; VANUATU:  PORT-VILA,-23.008,169.9,20.0,7.7,2246,9,8.0,311.02646811967185,3129.2340245948913,6,"SAMOA, FIJI, TONGA, USA TERRITORY, VANUATU, COOK ISLANDS"
61,1995-05-27 13:03:52.600,"RUSSIA:  SAKHALIN IS:  NEFTEGORSK, OKHA, MOSKALVO",52.629,142.827,11.0,7.1,2247,1,0.1,57.333161392436836,57.333161392436836,1,RUSSIA
62,1995-06-15 00:15:48.700,"GREECE:  AIYION, ERATINI",38.401,22.283,14.0,6.5,2248,2,1.0,5.773120315376777,24.223826042533503,1,GREECE
63,1995-07-30 05:11:23.600,"CHILE:  ANTOFAGASTA, CALAMA, MEJILLONES",-23.34,-70.294,46.0,8.0,2249,90,3.0,25.389523516560622,18440.086377879343,12,"USA, CHILE, MEXICO, AUSTRALIA, FRENCH POLYNESIA, TONGA, USA TERRITORY, VANUATU, SAMOA, FIJI, JAPAN, CANADA"
64,1995-08-16 10:27:28.600,"PAPUA NEW GUINEA:  RABAUL, KOKOPO, NEW BRITAIN",-5.799,154.178,30.0,7.7,2250,3,0.28,282.09906612194317,2201.262997437635,3,"PAPUA NEW GUINEA, MARSHALL ISLANDS, REP. OF, VANUATU"
65,1995-10-09 15:35:53.900,"MEXICO:  JALISCO, MANZANILLO, SAN PATRICIO MELAQUE",19.055,-104.205,33.0,8.0,2252,34,10.9,11.175559970745525,12165.842774897828,7,"ECUADOR, MEXICO, USA, FRENCH POLYNESIA, AUSTRALIA, USA TERRITORY, VANUATU"
66,1995-10-18 10:37:26.300,JAPAN:  RYUKU IS.,27.929,130.175,28.0,7.1,2253,41,2.59,43.99391815300374,1331.2103976104818,1,JAPAN
67,1995-10-19 02:41:36.100,JAPAN:  RYUKU IS.,28.094,130.148,20.0,6.8,2254,16,1.5,196.781814765116,1194.0030554850714,1,JAPAN
68,1995-11-01 00:35:32.700,CHILE:  NEAR CENTRAL COAST,-28.906,-71.417,20.0,6.7,2255,1,0.07,211.73830879294007,211.73830879294007,1,CHILE
69,1995-11-22 04:15:11.900,EGYPT:  NUWAYBI; SAUDI ARABIA; ISRAEL; JORDAN,28.826,34.799,10.0,7.2,2256,3,4.0,21.36615324787478,80.92615065802839,2,"ISRAEL, EGYPT"
70,1995-12-03 18:01:08.900,"RUSSIA:  KURIL ISLANDS:  ITURUP, MATUA, KUNASHIR",44.663,149.3,33.0,7.9,2257,38,0.23,331.8345439248065,9253.220005801672,6,"USA, USA TERRITORY, JAPAN, FRENCH POLYNESIA, CANADA, VANUATU"
71,1996-01-01 08:05:10.800,"INDONESIA:  SULAWESI: MINAHASSA PENINSULA, TOLITOLI",0.729,119.931,24.0,7.9,2259,16,3.43,20.141535994342092,38.73245914370274,1,INDONESIA
72,1996-02-17 05:59:30.500,"INDONESIA:  NEW GUINEA:  IRIAN JAYA:  BIAK, SUPIORI",-0.891,136.952,33.0,8.2,2260,110,7.7,67.88958125103281,11408.722979766915,5,"USA, INDONESIA, JAPAN, CANADA, TAIWAN"
73,1996-02-21 12:51:01.300,"PERU:  NORTHERN:  CHIMBOTE, CALLAO",-9.593,-79.587,10.0,7.5,2261,56,5.04,118.95617837264976,9054.34201559125,6,"PERU, CHILE, USA, MEXICO, ECUADOR, FRENCH POLYNESIA"
74,1996-02-25 03:08:15.800,MEXICO:  OFF COAST OF GUERRERO,15.978,-98.07,21.0,7.1,2262,1,0.06,2006.7344027052443,2006.7344027052443,1,ECUADOR
75,1996-06-10 04:03:35.400,ALASKA:  ANDREANOF ISLANDS,51.564,-177.632,33.0,7.9,2263,41,0.51,76.70423208534217,13455.552013647384,6,"USA, CHILE, USA TERRITORY, ECUADOR, JAPAN, VANUATU"
76,1996-06-10 15:24:56.000,ALASKA:  ANDREANOF ISLANDS,51.478,-176.847,24.0,7.3,2264,1,0.18,45.34435486029663,45.34435486029663,1,USA
77,1996-09-04 18:16:01.900,"HONSHU ISLAND, JAPAN",31.555,139.931,33.0,5.7,2265,14,0.2,172.0234027961372,1065.8277521335626,1,JAPAN
78,1996-09-05 08:14:14.400,CHILE:  EASTER ISLAND REGION,-22.118,-113.436,10.0,6.9,2266,2,0.09,688.0150076319613,3618.07267813848,1,CHILE
79,1996-10-18 10:50:20.800,JAPAN:  KYUSHU ISLAND,30.568,131.093,10.0,6.6,2267,1,0.17,20.348859826714826,20.348859826714826,1,JAPAN
80,1996-10-19 14:44:40.700,JAPAN:  KYUSHU ISLAND,31.885,131.468,22.0,6.7,2268,6,0.55,2.380379317431217,296.1498977589038,1,JAPAN
81,1996-11-12 16:59:44.000,"PERU:  CHINCHA ALTA, ACARI, NAZCA, MARCONA",-14.993,-75.675,33.0,7.7,2269,4,0.18,361.5548825364673,12129.841430927958,3,"PERU, CHILE, VANUATU"
82,1996-12-02 22:17:59.200,JAPAN:  KYUSHU,31.789,131.314,49.0,6.7,2270,4,0.12,24.84164907344722,314.1544207615176,1,JAPAN
83,1997-04-21 12:02:26.400,SOLOMON ISLANDS:  SANTA CRUZ ISLANDS; VANUATU,-12.584,166.676,33.0,7.7,2273,35,3.0,63.477301998530926,6575.269588218691,4,"TUVALU, FIJI, VANUATU, JAPAN"
84,1997-10-14 09:53:18.100,TONGA ISLANDS,-22.101,-176.772,167.0,7.7,2275,1,0.1,667.2371718621574,667.2371718621574,1,FIJI
85,1997-12-05 11:26:54.600,"RUSSIA:  KAMCHATKA:  UST-KAMCHATSK, PETROPAVLOVSK",54.841,162.035,33.0,7.8,2277,17,8.0,31.781389138808628,8065.49057076582,4,"USA, RUSSIA, USA TERRITORY, VANUATU"
86,1998-05-03 23:30:21.900,TAIWAN,22.306,125.308,33.0,7.5,2280,14,0.13,253.81139484610227,1987.9503358234815,2,"JAPAN, TAIWAN"
87,1998-07-17 08:49:16.100,PAPUA NEW GUINEA:  SISSANO,-2.943,142.582,25.0,7.0,2281,89,15.03,28.613951387122075,5396.967976822955,5,"JAPAN, PAPUA NEW GUINEA, NEW ZEALAND, MICRONESIA, FED. STATES OF, PALAU"
88,1999-08-17 00:01:39.100,"TURKEY:  ISTANBUL, KOCAELI, SAKARYA",40.76,29.97,13.0,7.6,2326,20,2.5,10.190362971331536,48.13173769279546,1,TURKEY
89,2000-05-04 04:21:16.200,"INDONESIA:  SULAWESI:  LUWUK, BANGGAI, PELENG,",-1.105,123.573,26.0,7.6,2338,2,6.0,30.088235699837615,62.7869465131348,1,INDONESIA
90,1999-11-26 13:21:15.500,VANUATU ISLANDS:  PENTECOST,-16.423,168.214,33.0,7.5,2339,52,6.6,30.21894449332697,9412.58964375044,13,"FIJI, VANUATU, TUVALU, NAURU, SAMOA, USA TERRITORY, NIUE, MARSHALL ISLANDS, REP. OF, FRENCH POLYNESIA, NEW ZEALAND, USA, JAPAN, TAIWAN"
91,2000-07-01 07:01:55.500,JAPAN:  NEAR S COAST HONSHU:  KOZU-SHIMA,34.221,139.131,10.0,6.1,2340,4,0.07,36.68445435738961,100.2462968750979,1,JAPAN
92,2000-06-18 14:44:13.300,"AUSTRALIA:  S, COCOS ISLANDS",-13.802,97.453,10.0,7.9,2341,1,0.3,196.13241220333484,196.13241220333484,1,AUSTRALIA
93,2000-11-16 04:54:55.900,"PAPUA NEW GUINEA:  NEW IRELAND, DUKE OF YORK",-4.001,152.327,17.0,8.0,2352,9,3.0,29.204044180120174,2313.153868299132,3,"PAPUA NEW GUINEA, SOLOMON ISLANDS, VANUATU"
94,2001-06-23 20:33:14.100,"PERU:  AREQUIPA, MOQUEGUA, TACNA, AYACUCHO",-16.265,-73.641,33.0,8.4,2373,135,8.77,5.097402409864089,17842.824014040267,17,"PERU, CHILE, ECUADOR, MEXICO, USA, USA TERRITORY, KIRIBATI, COOK ISLANDS, SAMOA, FIJI, TONGA, NEW ZEALAND, VANUATU, MARSHALL ISLANDS, REP. OF, RUSSIA, JAPAN, CANADA"
95,2002-03-05 21:16:09.100,PHILIPPINES:  MINDANAO,6.033,124.249,31.0,7.5,2394,2,3.0,20.670876170117737,41.49036611179864,1,PHILIPPINES
96,2002-03-31 06:52:50.400,TAIWAN:  TAIPEI,24.279,122.179,33.0,7.1,2396,7,0.2,66.9455743081647,219.26928527047423,2,"TAIWAN, JAPAN"
97,2002-01-02 17:22:48.700,"VANUATU ISLANDS:  EFATE, PORT VILA",-17.6,167.856,21.0,7.2,2397,2,3.0,50.60136984936808,50.91251579682153,1,VANUATU
98,2002-09-08 18:44:25.500,"PAPUA NEW GUINEA:  KAIRIRU IS, MUSCHU IS, WEWAK",-3.26,142.94,13.0,7.6,2398,80,5.5,9.178643419411024,4238.616011663203,4,"JAPAN, MICRONESIA, FED. STATES OF, PAPUA NEW GUINEA, USA TERRITORY"
99,2003-01-20 08:43:06.000,"SOLOMON ISLANDS:  HONIARA, SAN CRISTOBAL",-10.491,160.77,33.0,7.3,2401,2,2.0,81.3078913006509,147.59498181883043,1,SOLOMON ISLANDS
100,2003-01-22 02:06:34.600,"MEXICO:  VILLA DE ALVAREZ, COLIMA, TECOMAN, JALISCO",18.77,-104.104,24.0,7.5,2402,6,0.61,39.27595047232999,4109.1980507763965,2,"MEXICO, CANADA"
101,2003-05-21 18:44:20.100,"ALGERIA:  ALGIERS, BOUMERDES, REGHIA, THENIA",36.964,3.634,12.0,6.8,2403,23,3.0,54.25270245049822,939.4131535911991,4,"SPAIN, FRANCE, ITALY, ALGERIA"
102,2001-12-18 04:02:58.200,TAIWAN,23.954,122.734,14.0,6.8,2404,6,0.16,59.157957091824294,151.5758601348648,2,"JAPAN, TAIWAN"
103,2003-09-25 19:50:06.300,JAPAN:  HOKKAIDO,41.815,143.91,27.0,8.3,2406,234,4.4,55.85303834115931,7900.595593611365,4,"JAPAN, USA, USA TERRITORY, CANADA"
104,2003-10-31 01:06:28.200,JAPAN:  EAST COAST HONSHU,37.812,142.619,10.0,7.0,2428,4,0.32,112.15575102976504,211.3970173244141,1,JAPAN
105,2003-11-17 06:43:06.800,ALASKA:  ALEUTIAN ISLANDS:  RAT ISLANDS,51.146,178.65,33.0,7.8,2429,20,0.33,337.0939253709312,14894.046035839578,3,"USA, KIRIBATI, CHILE"
106,2004-09-05 10:07:07.800,JAPAN:  HONSHU:  W COAST: KYOTO,33.07,136.618,14.0,7.2,2436,12,0.63,85.46837471077414,852.8424515300428,1,JAPAN
107,2004-09-05 14:57:18.600,"JAPAN:  HONSHU:  W COAST: KYOTO, WAKAYAMA, SAKAI",33.184,137.071,10.0,7.4,2437,24,0.93,116.2923112545309,836.0626359024583,1,JAPAN
108,2004-12-26 00:58:53.500,INDONESIA:  SUMATRA:  ACEH:  OFF WEST COAST,3.295,95.982,30.0,9.1,2439,1974,50.9,56.626249905276325,19265.83039667312,46,"PERU, CHILE, USA TERRITORY, VANUATU, USA, MEXICO, RUSSIA, AUSTRALIA, NEW ZEALAND, INDIA, NEW CALEDONIA, TONGA, FIJI, FRENCH POLYNESIA, EL SALVADOR, ECUADOR, CANADA, SEYCHELLES, KENYA, INDONESIA, THAILAND, MALDIVES, SRI LANKA, OMAN, MAURITIUS, TANZANIA, UK TERRITORY, SOUTH AFRICA, BERMUDA (UK TERRITORY), UK, ANTARCTICA, FRANCE, MALAYSIA, BRAZIL, MYANMAR (BURMA), COMOROS, SOMALIA, MADAGASCAR, REUNION (FRENCH TERRITORY), FRENCH SOUTHERN AND ANTARCTIC TERRITORIES, YEMEN, GHANA, ARGENTINA, BANGLADESH, IRAN, URUGUAY"
109,2005-01-19 06:11:36.400,JAPAN:  EAST COAST HONSHU,34.064,141.491,28.0,6.6,2466,11,0.39,179.20304815419718,534.0638452656699,1,JAPAN
110,2005-03-28 16:09:36.500,INDONESIA:  SUMATERA:  SW,2.085,97.108,30.0,8.6,2487,67,4.2,1.3119226172848033,7093.298977809064,9,"INDONESIA, SRI LANKA, MALDIVES, MAURITIUS, SEYCHELLES, OMAN, KENYA, AUSTRALIA, REUNION (FRENCH TERRITORY)"
111,2005-04-10 10:29:11.200,INDONESIA:  PADANG,-1.644,99.607,19.0,6.7,2507,1,0.4,111.3787329054324,111.3787329054324,1,INDONESIA
